id	pop	hybrid.index	heterozygosity	perc.missing
PDOM2022NLD0046M_SAMPLE	PDOM2022NLD0046M_SAMPLE	House	0.221445221445221	0.438228438228438	0.00464037122969838
PDOM2022NLD0047F_SAMPLE	PDOM2022NLD0047F_SAMPLE	House	0.202261306532663	0.389447236180905	0.0765661252900232
PDOM2022NLD0048F_SAMPLE	PDOM2022NLD0048F_SAMPLE	House	0.196658097686375	0.377892030848329	0.0974477958236659
PDOM2022NLD0072M_SAMPLE	PDOM2022NLD0072M_SAMPLE	House	0.213286713286713	0.417249417249417	0.00464037122969838
PDOM2022NLD0077M_SAMPLE	PDOM2022NLD0077M_SAMPLE	Meerkerk	0.213457076566125	0.422273781902552	0
PDOM2022NLD0078F_SAMPLE	PDOM2022NLD0078F_SAMPLE	House	0.187150837988827	0.357541899441341	0.169373549883991
PDOM2022NLD0080F_SAMPLE	PDOM2022NLD0080F_SAMPLE	House	0.199238578680203	0.383248730964467	0.08584686774942
PDOM2022NLD0081F_SAMPLE	PDOM2022NLD0081F_SAMPLE	House	0.19309462915601	0.365728900255754	0.0928074245939675
PDOM2022NLD0082F_SAMPLE	PDOM2022NLD0082F_SAMPLE	House	0.19377990430622	0.373205741626794	0.0301624129930394
PDOM2022NLD0107J_SAMPLE	PDOM2022NLD0107J_SAMPLE	House	0.20979020979021	0.405594405594406	0.00464037122969838
PDOM2022NLD0108J_SAMPLE	PDOM2022NLD0108J_SAMPLE	House	0.2004662004662	0.400932400932401	0.00464037122969838
PI22NLD0001M_SAMPLE	PI22NLD0001M_SAMPLE	Y150239	0.216121495327103	0.427570093457944	0.00696055684454756
