V9	V1	V4	V5	V8	V10	V2	V3	V6	V7	V12	V14	V11	V13	V15	V16	V17	V18	V19	V25	V21	V20	V22	V23	V24	V32	V31	V27	V28	V29	V33	V26	V30	V34	V35	V41	V36	V39	V42	V43	V37	V38	V40	V44	V45	V47	V50	V46	V48	V49	V51	V52
12	-0.003379	-0.003896	-0.035634	-0.005256	0.013658	0.018459	-0.013379	-0.004752	0.032623	0.004544	NA	0.00105	0.051181	-0.00259	-0.062501	0.02214	-0.010519	-0.00736	-0.005538	0.001942	-0.00206	0.005497	-0.007784	0.021365	-0.019349	0.034639	0.021039	-0.014558	-0.005555	-0.004804	-0.017552	-0.014875	-0.008638	0.035905	-0.011004	-0.019796	-0.016852	0.034604	-0.004991	0.007677	0.003811	0.02426	-0.0105	-0.001818	-0.038484	-0.006686	-0.029179	-0.001278	-0.012089	0.024787	-0.013331	0.035737
14	-0.008099	-0.016018	0.035175	-0.028741	-0.007902	0.006338	0.03221	-0.029087	-0.007553	0.017521	0.00105	NA	-0.02997	-0.004185	-0.010864	-0.026713	0.006428	-0.001102	0.063234	-0.04226	0.004902	-0.022687	-0.005205	-0.023623	0.049575	-0.006793	-0.028342	-0.016277	0.024351	0.040682	0.038214	0.012201	0.022347	-0.034522	-0.055338	0.007842	-0.010294	-0.03058	0.034165	-0.031331	-0.021362	0.002651	0.007649	0.00956	0.041522	0.051214	-0.006503	0.017369	-0.002983	-0.030392	-0.01529	-0.013532
11	0.010287	0.024749	0.011206	0.022526	0.042917	-0.049144	-0.01704	0.040492	-0.031467	-0.049013	0.051181	-0.02997	NA	-0.033493	0.011484	0.015051	0.002648	0.028407	-0.050381	0.003242	-0.011821	0.013276	0.005014	-0.003448	-0.003989	0.005673	-0.005426	-0.002138	0.036158	-0.027727	-0.028767	0.01932	-0.009874	-0.000623	0.018992	-0.010154	0.0296	0.018857	-0.029181	-0.001621	0.00136	0.000258	0.006253	-0.03125	0.010036	-0.001466	0.005813	-0.030186	-0.021216	0.025822	0.021087	0.00041
13	-0.018482	0.021765	-0.010571	0.037605	-0.024327	-0.032652	-0.000987	0.006464	0.017303	-0.000394	-0.00259	-0.004185	-0.033493	NA	0.01539	0.000987	0.048085	-0.032767	-0.019686	0.005697	0.009425	0.01338	-0.014203	0.000602	-0.00553	-0.01501	0.021786	0.006674	-0.034433	-0.02045	0.009632	-0.028132	-0.033704	0.035731	0.055566	-0.010051	0.015401	-0.000562	-0.021479	0.010798	0.008211	-0.007196	-0.002114	-3.6e-05	0.008507	-0.038453	0.031893	-0.017779	0.025377	-0.018094	0.011318	0.007162
15	0.019912	-0.025204	-0.000453	-0.024739	-0.022089	0.054532	-0.001938	-0.011116	-0.011617	0.02494	-0.062501	-0.010864	0.011484	0.01539	NA	-0.010223	-0.046209	0.013768	0.009552	0.031565	-0.000993	-0.008554	0.022094	0.005373	-0.021313	-0.017599	-0.008678	0.025893	-0.019098	0.010614	-0.003235	0.011867	0.02884	-0.035385	-0.006996	0.031087	-0.016562	-0.020618	0.019698	0.01462	0.008183	-0.019477	-0.001211	0.021902	-0.021763	-0.005149	-0.002058	0.030123	0.009805	-0.000477	-0.002905	-0.028888
16	0.00849	0.021616	0.015681	-0.022755	0.066331	-0.051683	-0.015757	-0.006141	-0.006411	0.00302	0.02214	-0.026713	0.015051	0.000987	-0.010223	NA	-0.031473	0.052963	0.008445	-0.035617	-0.024542	0.017836	-0.037333	0.006592	0.024874	0.017984	0.003947	0.001916	-0.026532	-0.02414	0.026836	-0.023905	0.02271	0.019194	-0.008507	-0.03128	-0.005571	0.027202	-0.011589	-0.003024	0.020283	-0.025449	0.050208	-0.020139	-0.015795	0.004515	0.015606	-0.031713	0.043012	0.00878	-0.017926	-0.018979
17	-0.01628	-0.048477	-0.002126	0.052842	-0.038553	0.004547	0.013438	0.016642	-0.009804	0.008914	-0.010519	0.006428	0.002648	0.048085	-0.046209	-0.031473	NA	-0.040644	0.032367	0.033382	-0.001844	-0.039042	0.052884	0.045407	-0.040688	-0.006207	0.013401	0.018209	0.009097	0.023456	-0.027335	0.014993	-0.026093	-0.035237	0.012043	-0.005772	0.043742	-0.051091	0.028516	0.026287	-0.009847	-0.002818	0.008838	-0.011842	-0.019077	-0.02449	-0.004544	0.012384	-0.013732	0.001945	0.0198	0.007463
18	-0.00272	0.014999	0.001467	-0.001294	-0.033626	-0.02549	0.032689	-0.002792	0.01142	0.009592	-0.00736	-0.001102	0.028407	-0.032767	0.013768	0.052963	-0.040644	NA	-0.057162	-0.020044	-0.019312	0.053006	0.017552	-0.06276	0.010048	0.020598	-0.000352	-0.00365	0.004999	0.011296	-0.010493	-0.021331	0.005489	0.020068	-0.015046	-0.04408	-0.044693	0.125454	-0.058409	0.005585	0.067553	-0.021531	0.007804	-0.028888	-0.030769	0.026101	0.020095	-0.030614	-0.006442	-0.024206	0.008662	0.007128
19	0.023798	0.003378	-0.075165	0.029289	0.01091	0.03388	-0.00321	0.002858	-0.018389	0.002635	-0.005538	0.063234	-0.050381	-0.019686	0.009552	0.008445	0.032367	-0.057162	NA	0.028959	0.016104	-0.010018	-0.007473	-0.013147	0.005501	-0.039565	-0.015504	-0.000205	-0.000902	-0.00477	0.025682	-0.012659	0.022932	0.00436	-0.008476	0.067925	0.021804	-0.082853	0.028512	-0.035525	-0.023862	0.033639	-0.057757	0.026724	0.059631	0.018115	-0.040493	0.027038	-0.047034	0.014722	0.00694	0.017272
25	-0.013219	0.007498	0.060376	-0.057732	-0.002612	0.038992	-0.028889	-0.010318	0.022358	-0.024442	0.001942	-0.04226	0.003242	0.005697	0.031565	-0.035617	0.033382	-0.020044	0.028959	NA	0.030005	-0.024569	-0.026493	0.027767	-0.000302	0.006469	-0.001198	-0.015791	0.01268	-0.006553	-0.014023	0.043673	-0.025219	-0.00948	0.020722	0.014626	-0.012586	-0.025009	0.015993	0.006725	-0.057152	0.016644	-0.008307	0.03497	0.006906	-0.02578	0.008615	0.023924	0.025205	0.000147	-0.017984	-0.013519
21	-0.012798	0.003032	0.035074	0.026063	-0.021512	-0.012056	-0.013292	-0.014555	0.000983	-0.001826	-0.00206	0.004902	-0.011821	0.009425	-0.000993	-0.024542	-0.001844	-0.019312	0.016104	0.030005	NA	0.005045	0.003603	0.007223	-0.03303	0.018656	-0.039794	0.004404	-0.047345	0.026575	0.000361	0.053294	-0.020552	0.018775	-0.013976	0.017083	-0.014079	-0.049431	0.013501	0.041799	-0.036806	0.0218	0.020964	-0.007401	0.002468	-0.025376	-0.035117	-0.004587	0.004713	0.029806	0.013643	0.016302
20	0.007457	-0.041613	-0.00701	0.040765	-0.000868	0.014592	-0.011853	0.002475	-0.025936	0.022856	0.005497	-0.022687	0.013276	0.01338	-0.008554	0.017836	-0.039042	0.053006	-0.010018	-0.024569	0.005045	NA	0.015725	-0.007689	-0.029061	0.020979	0.0179	-0.014096	0.00227	-0.003258	0.005415	0.004135	-0.027702	-0.02253	0.015334	0.008973	0.008958	0.016318	-0.001575	0.003457	0.012517	-0.011838	-0.015733	0.001636	-0.023448	-0.000834	0.024898	-0.00644	0.020104	0.005671	-0.036164	-0.006018
22	-0.012533	-0.013424	-0.05272	0.019462	0.053755	-0.044649	-0.009342	0.014331	0.036715	-0.003645	-0.007784	-0.005205	0.005014	-0.014203	0.022094	-0.037333	0.052884	0.017552	-0.007473	-0.026493	0.003603	0.015725	NA	-0.021798	0.054694	0.014794	-0.014723	-0.009928	0.020499	-0.033911	0.010169	0.003801	0.013392	0.028421	-0.022602	-0.02296	0.012135	0.004737	0.025109	-0.029002	0.025726	-0.014728	-0.039013	0.001796	0.023186	0.020353	-0.008177	0.003439	0.000135	-0.020239	0.012947	-0.008192
23	0.042581	0.048562	-0.019031	-0.030693	-0.021761	0.013084	0.020196	0.008246	-0.014652	-0.034977	0.021365	-0.023623	-0.003448	0.000602	0.005373	0.006592	0.045407	-0.06276	-0.013147	0.027767	0.007223	-0.007689	-0.021798	NA	-0.032451	0.007787	0.006122	0.006914	0.023116	0.029164	-0.027615	-0.042324	0.038565	-0.012298	-0.022209	0.014163	-0.021489	0.010673	-0.008749	0.002734	0.016854	0.009222	0.003834	-0.032467	-0.005167	-0.050025	0.016022	0.043815	-0.019645	0.008762	-0.001107	0.000128
24	-0.025414	-0.01169	0.043285	-0.049363	-0.013889	0.036142	0.021958	-0.00479	-0.001415	-0.01238	-0.019349	0.049575	-0.003989	-0.00553	-0.021313	0.024874	-0.040688	0.010048	0.005501	-0.000302	-0.03303	-0.029061	0.054694	-0.032451	NA	-0.05744	0.034879	0.007288	-0.002176	-0.014418	0.01338	-0.011878	-0.013618	-0.003436	0.031918	-0.010467	0.025455	0.0159	-0.021135	-0.011804	-0.023484	-0.004917	0.01671	0.037233	-0.010587	0.035724	-0.000114	-0.025749	0.000867	-0.017745	0.021567	-0.013067
32	-0.01636	0.017926	-0.035275	-0.017283	0.022482	-0.00583	0.049277	-0.037303	-0.007161	0.027776	0.034639	-0.006793	0.005673	-0.01501	-0.017599	0.017984	-0.006207	0.020598	-0.039565	0.006469	0.018656	0.020979	0.014794	0.007787	-0.05744	NA	0.012357	0.071744	0.01397	-0.018939	-0.024572	0.016665	0.020221	-0.057329	-0.026231	-0.029337	-0.011163	-0.008276	-0.067893	-0.003703	0.007124	0.024727	-0.005346	0.064647	0.018219	-0.001686	-0.017903	0.006953	-0.02102	0.015	0.019658	-0.001978
31	-0.009348	-0.007219	0.01414	0.001579	-0.004893	0.045076	-0.026163	-0.035077	0.011525	0.003735	0.021039	-0.028342	-0.005426	0.021786	-0.008678	0.003947	0.013401	-0.000352	-0.015504	-0.001198	-0.039794	0.0179	-0.014723	0.006122	0.034879	0.012357	NA	-0.010493	-0.041783	-0.051109	0.018522	0.043421	-0.021486	-0.027564	0.000693	-0.018995	0.014058	0.014677	-0.035448	0.019593	-0.013196	-0.019555	0.008802	0.018945	-0.005722	-0.052785	0.008589	-0.015881	0.018313	0.016969	0.014089	0.011429
27	0.029304	0.02878	-0.010815	0.004895	-0.03431	-0.021837	-0.000897	0.042179	-0.041154	0.008437	-0.014558	-0.016277	-0.002138	0.006674	0.025893	0.001916	0.018209	-0.00365	-0.000205	-0.015791	0.004404	-0.014096	-0.009928	0.006914	0.007288	0.071744	-0.010493	NA	0.006081	0.043143	-0.028446	-0.022955	-0.052127	0.027044	-0.006841	-0.042508	-0.030892	0.017263	-0.003206	0.034657	0.017573	-0.005299	0.008624	-0.061711	0.024748	0.006101	-0.018369	0.007715	-0.003996	-0.005926	0.010747	0.003128
28	0.014616	-0.034711	0.042902	-6.3e-05	0.044991	-0.055035	0.024658	-0.019625	-0.003604	-0.007179	-0.005555	0.024351	0.036158	-0.034433	-0.019098	-0.026532	0.009097	0.004999	-0.000902	0.01268	-0.047345	0.00227	0.020499	0.023116	-0.002176	0.01397	-0.041783	0.006081	NA	0.032048	-0.038814	-0.035076	-0.00121	0.02893	0.025637	0.028889	-0.0301	0.026345	-0.021419	-0.019689	-0.004586	0.070002	-0.079108	-0.005239	0.03238	0.030199	0.002737	-0.006973	0.002214	-0.020891	-0.022127	0.014605
29	-0.001385	-0.007936	-0.021511	-0.008537	-0.00555	0.007019	0.039266	-0.019249	0.001837	0.010705	-0.004804	0.040682	-0.027727	-0.02045	0.010614	-0.02414	0.023456	0.011296	-0.00477	-0.006553	0.026575	-0.003258	-0.033911	0.029164	-0.014418	-0.018939	-0.051109	0.043143	0.032048	NA	0.050102	-0.002979	-0.034081	-0.000348	0.01798	0.014533	-0.006108	-0.012387	0.022981	0.047941	-0.013877	-0.017066	-0.034118	0.020618	-0.026485	-0.029142	0.008903	0.053446	0.061645	-0.045906	-0.04877	0.000245
33	-0.011869	-0.018373	0.010626	0.017993	0.019551	0.025936	-0.018085	0.00041	-0.029666	0.000654	-0.017552	0.038214	-0.028767	0.009632	-0.003235	0.026836	-0.027335	-0.010493	0.025682	-0.014023	0.000361	0.005415	0.010169	-0.027615	0.01338	-0.024572	0.018522	-0.028446	-0.038814	0.050102	NA	-0.019128	0.032023	-0.011633	0.007697	0.016708	0.009773	-0.029083	0.019536	-0.007726	-0.053062	0.000939	0.030704	0.024924	0.009089	-0.041772	0.003482	0.044206	-0.009895	0.031638	0.005776	-0.03396
26	-0.014441	0.032099	0.019137	-0.035426	0.014437	-0.001616	-0.052522	0.039197	-0.018644	0.012251	-0.014875	0.012201	0.01932	-0.028132	0.011867	-0.023905	0.014993	-0.021331	-0.012659	0.043673	0.053294	0.004135	0.003801	-0.042324	-0.011878	0.016665	0.043421	-0.022955	-0.035076	-0.002979	-0.019128	NA	0.008701	0.01838	0.027749	-0.036164	0.051971	-0.059146	0.008836	-0.047082	-0.026269	-0.008501	0.053675	0.052632	-0.021912	0.00838	0.020175	-0.012654	0.002339	0.021527	-0.031372	-0.00758
30	-0.002092	-0.00904	0.006125	0.0241	-0.033258	-0.040673	0.005586	0.014661	0.051945	-0.007312	-0.008638	0.022347	-0.009874	-0.033704	0.02884	0.02271	-0.026093	0.005489	0.022932	-0.025219	-0.020552	-0.027702	0.013392	0.038565	-0.013618	0.020221	-0.021486	-0.052127	-0.00121	-0.034081	0.032023	0.008701	NA	-0.025206	0.025102	0.033926	-0.018745	0.015986	0.040657	-0.015952	0.066125	-0.046879	0.002628	-0.027205	-0.052967	0.048809	0.012381	-0.028135	-0.042533	-0.026814	0.02972	0.006036
34	0.00975	0.005998	0.02038	-0.004239	-0.018106	0.007315	-0.004328	0.003302	-0.001244	-0.029097	0.035905	-0.034522	-0.000623	0.035731	-0.035385	0.019194	-0.035237	0.020068	0.00436	-0.00948	0.018775	-0.02253	0.028421	-0.012298	-0.003436	-0.057329	-0.027564	0.027044	0.02893	-0.000348	-0.011633	0.01838	-0.025206	NA	0.027548	0.004267	0.008421	0.048263	-0.03231	-0.023624	0.002338	-0.006528	0.025434	-0.031218	0.013225	0.029472	-0.014083	-0.043832	-0.003778	0.023739	0.016042	-0.006133
35	0.00064	0.00845	-0.063259	0.016238	0.004399	0.041732	-0.009807	0.005915	0.039504	-0.032272	-0.011004	-0.055338	0.018992	0.055566	-0.006996	-0.008507	0.012043	-0.015046	-0.008476	0.020722	-0.013976	0.015334	-0.022602	-0.022209	0.031918	-0.026231	0.000693	-0.006841	0.025637	0.01798	0.007697	0.027749	0.025102	0.027548	NA	-0.007288	0.00876	-0.003579	0.012837	-0.00241	0.010881	-0.003997	-0.000232	-0.036513	0.013896	-0.008666	-0.02074	0.001011	-0.000816	-0.005645	0.008564	0.025135
41	-0.022982	-0.038718	0.028468	0.008933	0.002529	-0.026639	0.050111	-0.016608	-0.024043	0.02973	-0.019796	0.007842	-0.010154	-0.010051	0.031087	-0.03128	-0.005772	-0.04408	0.067925	0.014626	0.017083	0.008973	-0.02296	0.014163	-0.010467	-0.029337	-0.018995	-0.042508	0.028889	0.014533	0.016708	-0.036164	0.033926	0.004267	-0.007288	NA	0.027332	-0.080704	0.051952	-0.002435	-0.018201	0.040643	-0.03063	0.026381	-0.016721	0.007951	-0.009971	0.012235	-0.040111	0.013016	0.007317	0.007419
36	-0.034652	0.01545	0.058912	-0.015803	0.005528	0.006952	-0.027653	0.004284	-0.014051	-0.008369	-0.016852	-0.010294	0.0296	0.015401	-0.016562	-0.005571	0.043742	-0.044693	0.021804	-0.012586	-0.014079	0.008958	0.012135	-0.021489	0.025455	-0.011163	0.014058	-0.030892	-0.0301	-0.006108	0.009773	0.051971	-0.018745	0.008421	0.00876	0.027332	NA	-0.060524	-0.026203	-0.03999	0.011939	0.011216	0.065962	0.027468	-0.004957	-0.00376	-0.03669	-0.031625	0.024178	0.036572	-0.002205	0.014502
39	0.02362	-0.044103	0.005834	-0.01507	-0.025398	-0.011766	0.036407	0.003816	0.033519	-0.005725	0.034604	-0.03058	0.018857	-0.000562	-0.020618	0.027202	-0.051091	0.125454	-0.082853	-0.025009	-0.049431	0.016318	0.004737	0.010673	0.0159	-0.008276	0.014677	0.017263	0.026345	-0.012387	-0.029083	-0.059146	0.015986	0.048263	-0.003579	-0.080704	-0.060524	NA	-0.028388	0.001484	0.030761	-0.021593	0.04217	-0.002289	0.063089	-0.006753	0.004629	0.017068	-9.1e-05	-0.027248	0.015646	-0.003551
42	-0.01274	0.02138	-0.047592	0.009958	0.00993	0.023803	0.010273	0.015998	-0.022768	-0.012489	-0.004991	0.034165	-0.029181	-0.021479	0.019698	-0.011589	0.028516	-0.058409	0.028512	0.015993	0.013501	-0.001575	0.025109	-0.008749	-0.021135	-0.067893	-0.035448	-0.003206	-0.021419	0.022981	0.019536	0.008836	0.040657	-0.03231	0.012837	0.051952	-0.026203	-0.028388	NA	0.035207	0.017418	0.033571	-0.02031	0.053001	-0.008702	-0.008018	0.053671	0.00734	-0.011567	0.015277	-0.007028	-0.048154
43	-0.018501	-0.032477	0.001881	0.015968	0.011645	0.01692	-0.029776	-0.002873	0.023325	0.003352	0.007677	-0.031331	-0.001621	0.010798	0.01462	-0.003024	0.026287	0.005585	-0.035525	0.006725	0.041799	0.003457	-0.029002	0.002734	-0.011804	-0.003703	0.019593	0.034657	-0.019689	0.047941	-0.007726	-0.047082	-0.015952	-0.023624	-0.00241	-0.002435	-0.03999	0.001484	0.035207	NA	0.033961	0.002118	0.008907	-0.051925	-0.006845	-0.014046	-0.011657	-0.024637	0.058116	-0.021729	-0.007829	0.023616
37	0.006792	0.050976	-0.032262	0.005361	0.002932	-0.040508	-0.019757	0.04293	0.027875	-0.035265	0.003811	-0.021362	0.00136	0.008211	0.008183	0.020283	-0.009847	0.067553	-0.023862	-0.057152	-0.036806	0.012517	0.025726	0.016854	-0.023484	0.007124	-0.013196	0.017573	-0.004586	-0.013877	-0.053062	-0.026269	0.066125	0.002338	0.010881	-0.018201	0.011939	0.030761	0.017418	0.033961	NA	-0.031818	-0.025863	-0.017738	0.003686	-0.01062	0.000301	-0.011187	0.011385	-0.02664	0.017531	0.019333
38	0.012388	-0.005527	7.1e-05	-0.019001	0.008888	0.011687	-0.020065	-0.022251	-0.020501	0.053306	0.02426	0.002651	0.000258	-0.007196	-0.019477	-0.025449	-0.002818	-0.021531	0.033639	0.016644	0.0218	-0.011838	-0.014728	0.009222	-0.004917	0.024727	-0.019555	-0.005299	0.070002	-0.017066	0.000939	-0.008501	-0.046879	-0.006528	-0.003997	0.040643	0.011216	-0.021593	0.033571	0.002118	-0.031818	NA	0.002095	-0.022954	-0.002652	0.043146	0.027649	-0.027981	-0.004093	0.017399	-0.016849	-0.036935
40	0.024109	0.013533	0.022983	-0.022077	-0.00398	0.012233	-0.027389	-0.00654	0.008227	-0.010803	-0.0105	0.007649	0.006253	-0.002114	-0.001211	0.050208	0.008838	0.007804	-0.057757	-0.008307	0.020964	-0.015733	-0.039013	0.003834	0.01671	-0.005346	0.008802	0.008624	-0.079108	-0.034118	0.030704	0.053675	0.002628	0.025434	-0.000232	-0.03063	0.065962	0.04217	-0.02031	0.008907	-0.025863	0.002095	NA	-0.022509	-0.026059	-0.005143	-0.032352	0.027752	-0.038803	0.017242	0.017098	0.011309
