GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Category
GO:0032482	0.010573787386514	16.9666666666667	0.16396933560477	2	7	Rab Protein Signal Transduction	lower
GO:0006099	0.0138840817929753	14.1358024691358	0.187393526405451	2	8	Tricarboxylic Acid Cycle	lower
GO:0009060	0.0139268757579831	6.73930152484014	0.515332197614991	3	22	Aerobic Respiration	lower
GO:0170040	0.0175801199162305	12.1137566137566	0.210817717206133	2	9	Proteinogenic Amino Acid Catabolic Process	lower
GO:1901606	0.0175801199162305	12.1137566137566	0.210817717206133	2	9	Alpha-amino Acid Catabolic Process	lower
GO:0009063	0.0216423512768416	10.5972222222222	0.234241908006814	2	10	Amino Acid Catabolic Process	lower
GO:0045333	0.0219780947999164	5.56237301909793	0.609028960817717	3	26	Cellular Respiration	lower
GO:0006536	0.023424190800681	Inf	0.0234241908006814	1	1	Glutamate Metabolic Process	lower
GO:0051189	0.023424190800681	Inf	0.0234241908006814	1	1	Prosthetic Group Metabolic Process	lower
GO:0099111	0.023424190800681	Inf	0.0234241908006814	1	1	Microtubule-based Transport	lower
GO:0042073	0.023424190800681	Inf	0.0234241908006814	1	1	Intraciliary Transport	lower
GO:0014032	0.023424190800681	Inf	0.0234241908006814	1	1	Neural Crest Cell Development	lower
GO:0014033	0.023424190800681	Inf	0.0234241908006814	1	1	Neural Crest Cell Differentiation	lower
GO:0019236	0.023424190800681	Inf	0.0234241908006814	1	1	Response to Pheromone	lower
GO:0070966	0.023424190800681	Inf	0.0234241908006814	1	1	Nuclear-transcribed Mrna Catabolic Process, No-go Decay	lower
GO:0019720	0.023424190800681	Inf	0.0234241908006814	1	1	Mo-molybdopterin Cofactor Metabolic Process	lower
GO:0042982	0.023424190800681	Inf	0.0234241908006814	1	1	Amyloid Precursor Protein Metabolic Process	lower
GO:0042987	0.023424190800681	Inf	0.0234241908006814	1	1	Amyloid Precursor Protein Catabolic Process	lower
GO:0010970	0.023424190800681	Inf	0.0234241908006814	1	1	Transport Along Microtubule	lower
GO:0032324	0.023424190800681	Inf	0.0234241908006814	1	1	Molybdopterin Cofactor Biosynthetic Process	lower
GO:0007585	0.023424190800681	Inf	0.0234241908006814	1	1	Respiratory Gaseous Exchange By Respiratory System	lower
GO:0070481	0.023424190800681	Inf	0.0234241908006814	1	1	Nuclear-transcribed Mrna Catabolic Process, Non-stop Decay	lower
GO:0060485	0.023424190800681	Inf	0.0234241908006814	1	1	Mesenchyme Development	lower
GO:0019556	0.023424190800681	Inf	0.0234241908006814	1	1	L-histidine Catabolic Process to Glutamate and Formamide	lower
GO:0043545	0.023424190800681	Inf	0.0234241908006814	1	1	Molybdopterin Cofactor Metabolic Process	lower
GO:0000422	0.023424190800681	Inf	0.0234241908006814	1	1	Autophagy of Mitochondrion	lower
GO:0000423	0.023424190800681	Inf	0.0234241908006814	1	1	Mitophagy	lower
GO:0071025	0.023424190800681	Inf	0.0234241908006814	1	1	Rna Surveillance	lower
GO:0043605	0.023424190800681	Inf	0.0234241908006814	1	1	Amide Catabolic Process	lower
GO:0043606	0.023424190800681	Inf	0.0234241908006814	1	1	Formamide Metabolic Process	lower
GO:0006106	0.023424190800681	Inf	0.0234241908006814	1	1	Fumarate Metabolic Process	lower
GO:0048762	0.023424190800681	Inf	0.0234241908006814	1	1	Mesenchymal Cell Differentiation	lower
GO:0006777	0.023424190800681	Inf	0.0234241908006814	1	1	Mo-molybdopterin Cofactor Biosynthetic Process	lower
GO:0048863	0.023424190800681	Inf	0.0234241908006814	1	1	Stem Cell Differentiation	lower
GO:0048864	0.023424190800681	Inf	0.0234241908006814	1	1	Stem Cell Development	lower
GO:0015980	0.0293687795897658	4.91732566498922	0.679301533219761	3	29	Energy Derivation By Oxidation of Organic Compounds	lower
GO:0009072	0.0307906200298253	8.47407407407407	0.281090289608177	2	12	Aromatic Amino Acid Metabolic Process	lower
GO:0070647	0.0351559345021041	2.94390084801044	1.82708688245315	5	78	Protein Modification By Small Protein Conjugation Or Removal	lower
GO:0043687	0.0368547936139236	2.9034749034749	1.85051107325383	5	79	Post-translational Protein Modification	lower
GO:0045337	0.0463045611972573	42.0642201834862	0.0468483816013629	1	2	Farnesyl Diphosphate Biosynthetic Process	lower
GO:0045338	0.0463045611972573	42.0642201834862	0.0468483816013629	1	2	Farnesyl Diphosphate Metabolic Process	lower
GO:0006413	0.0010516362609993	8.10232220609579	0.831771720613288	5	18	Translational Initiation	outliers
GO:0052805	0.00212593411019371	Inf	0.0924190800681431	2	2	Imidazole-containing Compound Catabolic Process	outliers
GO:0006547	0.00212593411019371	Inf	0.0924190800681431	2	2	L-histidine Metabolic Process	outliers
GO:0006548	0.00212593411019371	Inf	0.0924190800681431	2	2	L-histidine Catabolic Process	outliers
GO:0006956	0.00212593411019371	Inf	0.0924190800681431	2	2	Complement Activation	outliers
GO:0002252	0.00212593411019371	Inf	0.0924190800681431	2	2	Immune Effector Process	outliers
GO:0052803	0.00212593411019371	Inf	0.0924190800681431	2	2	Imidazole-containing Compound Metabolic Process	outliers
GO:0007155	0.00307870577257652	2.62897706252312	5.49893526405451	13	119	Cell Adhesion	outliers
GO:0006605	0.00404677738509109	7.62782757148954	0.693143100511073	4	15	Protein Targeting	outliers
GO:0072594	0.00415892841912103	5.53624627606753	1.10902896081772	5	24	Establishment of Protein Localization to Organelle	outliers
GO:0051276	0.00552230081355006	4.21706161137441	1.66354344122658	6	36	Chromosome Organization	outliers
GO:1900046	0.00618305336011174	41.6558139534884	0.138628620102215	2	3	Regulation of Hemostasis	outliers
GO:1903034	0.00618305336011174	41.6558139534884	0.138628620102215	2	3	Regulation of Response to Wounding	outliers
GO:0006446	0.00618305336011174	41.6558139534884	0.138628620102215	2	3	Regulation of Translational Initiation	outliers
